18	15	0	180	4447
18	15	1	180	4447
18	15	2	180	4447
18	15	3	180	4447
18	15	4	180	4447
18	15	5	180	4447
18	15	6	180	4447
18	15	7	180	4447
3224	15	8	180	0
1000	15	9	270	0
18	15	10	180	4447
18	15	11	180	4447
18	15	12	180	4447
18	15	13	180	4447
18	15	14	180	4447
18	15	15	180	4447
18	14	0	180	4447
18	14	1	180	4447
18	14	2	180	4447
18	14	3	180	4447
18	14	4	180	4447
18	14	5	180	4447
18	14	6	180	4447
2102	14	7	270	0
2102	14	8	270	0
2102	14	9	90	0
1000	14	10	270	0
18	14	11	180	4447
18	14	12	180	4447
18	14	13	180	4447
18	14	14	180	4447
18	14	15	180	4447
18	13	0	180	4447
18	13	1	180	4447
18	13	2	180	4447
18	13	3	180	4447
18	13	4	180	4447
18	13	5	180	4447
1000	13	6	0	0
-1	13	7	0	0
-1	13	8	0	0
2102	13	9	180	4447
1000	13	10	90	0
2102	13	11	180	0
18	13	12	180	4447
18	13	13	180	4447
18	13	14	180	4447
18	13	15	180	4447
18	12	0	180	4447
18	12	1	180	4447
18	12	2	180	4447
18	12	3	180	4447
18	12	4	180	4447
18	12	5	180	4447
-1	12	6	0	0
-1	12	7	0	0
1000	12	8	180	0
18	12	9	180	4447
18	12	10	180	4447
3224	12	11	180	0
3224	12	12	180	4447
18	12	13	180	4447
18	12	14	180	4447
18	12	15	180	4447
18	11	0	180	4447
18	11	1	180	4447
18	11	2	180	4447
18	11	3	180	4447
18	11	4	180	4447
18	11	5	180	4447
18	11	6	180	4447
2102	11	7	180	0
18	11	8	180	4447
18	11	9	180	4447
18	11	10	180	4447
18	11	11	180	4447
1000	11	12	90	0
18	11	13	180	4447
18	11	14	180	4447
18	11	15	180	4447
18	10	0	180	4447
18	10	1	180	4447
18	10	2	180	4447
18	10	3	180	4447
18	10	4	180	4447
18	10	5	180	4447
18	10	6	180	4447
18	10	7	180	4447
18	10	8	180	4447
18	10	9	180	4447
1000	10	10	0	0
-1	10	11	0	0
3224	10	12	180	0
-1	10	13	0	0
18	10	14	180	4447
18	10	15	180	4447
18	9	0	180	4447
18	9	1	180	4447
18	9	2	180	4447
18	9	3	180	4447
18	9	4	180	4447
18	9	5	180	4447
18	9	6	180	4447
18	9	7	180	4447
18	9	8	180	4447
18	9	9	180	4447
-1	9	10	0	0
-1	9	11	0	0
3224	9	12	180	4447
18	9	13	180	4447
3224	9	14	180	0
18	9	15	180	4447
18	8	0	180	4447
18	8	1	180	4447
18	8	2	180	4447
18	8	3	180	4447
18	8	4	180	4447
18	8	5	180	4447
18	8	6	180	4447
18	8	7	180	4447
18	8	8	180	4447
18	8	9	180	4447
3224	8	10	180	0
3224	8	11	180	4447
18	8	12	180	4447
18	8	13	180	4447
18	8	14	180	4447
18	8	15	180	4447
18	7	0	180	4447
18	7	1	180	4447
18	7	2	180	4447
18	7	3	180	4447
18	7	4	180	4447
18	7	5	180	4447
18	7	6	180	4447
18	7	7	180	4447
18	7	8	180	4447
18	7	9	180	4447
18	7	10	180	4447
18	7	11	180	4447
18	7	12	180	4447
18	7	13	180	4447
18	7	14	180	4447
18	7	15	180	4447
18	6	0	180	4447
18	6	1	180	4447
3224	6	2	180	4447
18	6	3	180	4447
18	6	4	180	4447
18	6	5	180	4447
18	6	6	180	4447
18	6	7	180	4447
18	6	8	180	4447
18	6	9	180	4447
18	6	10	180	4447
18	6	11	180	4447
18	6	12	180	4447
18	6	13	180	4447
18	6	14	180	4447
18	6	15	180	4447
18	5	0	180	4447
18	5	1	180	4447
18	5	2	180	4447
18	5	3	180	4447
18	5	4	180	4447
18	5	5	180	4447
18	5	6	180	4447
18	5	7	180	4447
18	5	8	180	4447
18	5	9	180	4447
18	5	10	180	4447
18	5	11	180	4447
18	5	12	180	4447
18	5	13	180	4447
18	5	14	180	4447
18	5	15	180	4447
18	4	0	180	4447
18	4	1	180	4447
18	4	2	180	4447
18	4	3	180	4447
18	4	4	180	4447
18	4	5	180	4447
18	4	6	180	4447
18	4	7	180	4447
18	4	8	180	4447
18	4	9	180	4447
18	4	10	180	4447
18	4	11	180	4447
18	4	12	180	4447
18	4	13	180	4447
18	4	14	180	4447
18	4	15	180	4447
18	3	0	180	4447
18	3	1	180	4447
18	3	2	180	4447
18	3	3	180	4447
18	3	4	180	4447
18	3	5	180	4447
18	3	6	180	4447
18	3	7	180	4447
18	3	8	180	4447
18	3	9	180	4447
18	3	10	180	4447
18	3	11	180	4447
18	3	12	180	4447
18	3	13	180	4447
18	3	14	180	4447
18	3	15	180	4447
18	2	0	180	4447
18	2	1	180	4447
18	2	2	180	4447
18	2	3	180	4447
18	2	4	180	4447
18	2	5	180	4447
18	2	6	180	4447
18	2	7	180	4447
18	2	8	180	4447
18	2	9	180	4447
18	2	10	180	4447
18	2	11	180	4447
18	2	12	180	4447
18	2	13	180	4447
3224	2	14	90	0
18	2	15	180	4447
18	1	0	180	4447
18	1	1	180	4447
18	1	2	180	4447
18	1	3	180	4447
18	1	4	180	4447
18	1	5	180	4447
18	1	6	180	4447
18	1	7	180	4447
18	1	8	180	4447
18	1	9	180	4447
18	1	10	180	4447
18	1	11	180	4447
